message_id,conversation_id,text,time_offset,intent,intent_confidence,director,writer,cast,genre,year,movie_name,referenced_movies
1564,484,I really liked @190953,197,recommend,0.36529412865638733,[],[],,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",2000,Nutty Professor II: The Klumps,"[""Nutty Professor II: The Klumps (2000)""]"
1565,484,I think I have seen that one and liked it,214,recommend,0.2735833525657654,[],[],,[],,,[]
1567,484,I think I will watch @91481,254,recommend,0.3407982885837555,[],[],,"['Action', 'Comedy', 'Crime']",1984,Beverly Hills Cop,"[""Beverly Hills Cop (1984)""]"
1570,484,I have not heard of that one before,283,recommend,0.21972410380840302,[],[],,[],,,[]
1572,484,I will check both of those out thanks for the help.,302,recommend,0.22734618186950684,[],[],,[],,,[]
1573,484,bye,307,chit-chat,0.12684418261051178,[],[],,[],,,[]
1575,485,Hi can you help me find a musical,0,recommend,0.24336475133895874,[],[],,['Music'],,,[]
1578,485,I really like @127328 and @107350,60,recommend,0.36027824878692627,,,,"['Drama', 'Horror']",2007,"Hairspray,Sweeney Todd: The Demon Barber of Fleet Street","[""Hairspray  (2007)"", ""Sweeney Todd: The Demon Barber of Fleet Street  (2007)""]"
1582,485,Yeah I have seen @145997 many times,145,chit-chat,0.1608426719903946,[],[],,"['Comedy', 'Crime', 'Drama']",2002,Chicago,"[""Chicago  (2002)""]"
1584,485,I have not seen @124268 I think I may like that one,256,recommend,0.3786740005016327,[],[],,"['Comedy', 'Romance']",2008,Mamma Mia!,"[""Mamma Mia!  (2008)""]"
1587,485,That is great that group does have some good music thanks for the help. Bye,307,recommend,0.13072550296783447,[],[],,['Music'],,,[]
1590,487,Hi could you help me find a good scary movie? It could be a thriller or horror or even a drama that is scary,19,recommend,0.4835183620452881,[],[],,"['Drama', 'Horror', 'Thriller']",,,[]
1591,487,I liked @170501 a lot and that was more drama,38,recommend,0.3791864812374115,[],[],,"['Thriller', 'Drama']",2002,Unfaithful,"[""Unfaithful  (2002)""]"
1593,487,"Yes, one of my all time favorites. although I thought the remake without robert Englund was horrible! @119295",124,recommend,0.33152833580970764,['robert Englund'],,,['@119295'],2010,A Nightmare on Elm Street,"[""A Nightmare on Elm Street  (2010)""]"
1595,487,"it is funny, i saw @134346 in the theater when I was younger, but never saw the original. I think that is a great suggestion",235,recommend,0.4352128505706787,[],[],,"['Horror', 'Thriller']",1995,Candyman: Farewell to the Flesh,"[""Candyman: Farewell to the Flesh (1995)""]"
1596,487,I have to see that,239,chit-chat,0.13910061120986938,[],[],,[],,,[]
1597,487,and dont waste your precious time on that nightmare remake!,259,recommend,0.299025297164917,[],[],,[],,,[]
1599,487,"no, the classics are my favorite so I am happy with this. thank you. have a good wekeend!",317,chit-chat,0.2238621711730957,[],[],,[],,,[]
1600,487,bye,318,chit-chat,0.12684418261051178,[],[],,[],,,[]
3123,710,Hello!,6,chit-chat,0.2063143253326416,[],[],,[],,,[]
3125,710,I like anything with aliens and/or superheros,26,recommend,0.3957601487636566,[],[],,[],,,[]
3126,710,What about you?,31,chit-chat,0.21323196589946747,[],[],,[],,,[]
3129,710,No! But my roommate watched it with her boyfriend and they said it was pretty good.,85,query,0.2860765755176544,[],[],,[],,,[]
3132,710,I think I saw it when it first came out but I can't really remember.,119,query,0.33677709102630615,[],[],,[],,,[]
3133,710,I have for sure seen @182781,139,recommend,0.3730035722255707,[],[],,"['Science Fiction', 'Drama']",1977,Close Encounters of the Third Kind,"[""Close Encounters of the Third Kind (1977)""]"
3136,710,I haven't seen it but I will. My boyfriend really like those movies,168,recommend,0.37960147857666016,[],[],,[],,,[]
3139,710,That I didn't know!,205,query,0.11831751465797424,[],[],,[],,,[]
3140,710,How do you feel about horror movies?,218,chit-chat,0.3506665527820587,[],[],,['Horror'],,,[]
3142,710,I don't like them but there is one called @147204,240,recommend,0.2367338389158249,[],[],,"['Comedy', 'Horror']",2014,Tusk,"[""Tusk  (2014)""]"
3145,710,It's directed by Kevin Smith and it is amazing,257,recommend,0.3726988732814789,['Kevin'],['Kevin Smith'],,[],,,[]
3147,710,It's got a little gore but its more psychological,284,chit-chat,0.15340588986873627,['gore'],['gore'],,[],,,[]
3150,710,I've never seen it. @147204  is the only horror movie I will watch,312,recommend,0.3260437548160553,[],[],,"['Comedy', 'Horror']",2014,Tusk,"[""Tusk  (2014)""]"
3152,710,Thanks! You too!,406,chit-chat,0.15806104242801666,[],[],,[],,,[]
